,Kabupaten,Tanggal Update,Jam,Cuaca
0,Bantul,2022/03/22 03:01,0,Cerah Berawan
1,Bantul,2022/03/22 03:01,6,Berawan Tebal
2,Bantul,2022/03/22 03:01,12,Hujan Ringan
3,Bantul,2022/03/22 03:01,18,Hujan Ringan
4,Bantul,2022/03/22 03:01,24,Berawan
5,Bantul,2022/03/22 03:01,30,Berawan Tebal
6,Bantul,2022/03/22 03:01,36,Berawan
7,Bantul,2022/03/22 03:01,42,Berawan
8,Bantul,2022/03/22 03:01,48,Berawan
9,Bantul,2022/03/22 03:01,54,Berawan
10,Bantul,2022/03/22 03:01,60,Hujan Ringan
11,Bantul,2022/03/22 03:01,66,Hujan Ringan
12,Sleman,2022/03/22 03:01,0,Cerah Berawan
13,Sleman,2022/03/22 03:01,6,Hujan Lebat
14,Sleman,2022/03/22 03:01,12,Berawan Tebal
15,Sleman,2022/03/22 03:01,18,Berawan
16,Sleman,2022/03/22 03:01,24,Berawan
17,Sleman,2022/03/22 03:01,30,Hujan Petir
18,Sleman,2022/03/22 03:01,36,Hujan Ringan
19,Sleman,2022/03/22 03:01,42,Berawan
20,Sleman,2022/03/22 03:01,48,Berawan
21,Sleman,2022/03/22 03:01,54,Hujan Petir
22,Sleman,2022/03/22 03:01,60,Berawan
23,Sleman,2022/03/22 03:01,66,Berawan
24,Wates,2022/03/22 03:01,0,Cerah Berawan
25,Wates,2022/03/22 03:01,6,Berawan Tebal
26,Wates,2022/03/22 03:01,12,Hujan Ringan
27,Wates,2022/03/22 03:01,18,Hujan Ringan
28,Wates,2022/03/22 03:01,24,Berawan
29,Wates,2022/03/22 03:01,30,Berawan Tebal
30,Wates,2022/03/22 03:01,36,Berawan
31,Wates,2022/03/22 03:01,42,Berawan
32,Wates,2022/03/22 03:01,48,Cerah Berawan
33,Wates,2022/03/22 03:01,54,Berawan
34,Wates,2022/03/22 03:01,60,Hujan Sedang
35,Wates,2022/03/22 03:01,66,Hujan Ringan
36,Gunung Kidul,2022/03/22 03:01,0,Cerah Berawan
37,Gunung Kidul,2022/03/22 03:01,6,Hujan Sedang
38,Gunung Kidul,2022/03/22 03:01,12,Cerah Berawan
39,Gunung Kidul,2022/03/22 03:01,18,Berawan
40,Gunung Kidul,2022/03/22 03:01,24,Berawan
41,Gunung Kidul,2022/03/22 03:01,30,Berawan Tebal
42,Gunung Kidul,2022/03/22 03:01,36,Berawan
43,Gunung Kidul,2022/03/22 03:01,42,Berawan
44,Gunung Kidul,2022/03/22 03:01,48,Cerah Berawan
45,Gunung Kidul,2022/03/22 03:01,54,Berawan
46,Gunung Kidul,2022/03/22 03:01,60,Berawan
47,Gunung Kidul,2022/03/22 03:01,66,Hujan Ringan
48,Yogyakarta,2022/03/22 03:01,0,Cerah Berawan
49,Yogyakarta,2022/03/22 03:01,6,Hujan Sedang
50,Yogyakarta,2022/03/22 03:01,12,Hujan Ringan
51,Yogyakarta,2022/03/22 03:01,18,Berawan
52,Yogyakarta,2022/03/22 03:01,24,Berawan
53,Yogyakarta,2022/03/22 03:01,30,Hujan Lebat
54,Yogyakarta,2022/03/22 03:01,36,Hujan Ringan
55,Yogyakarta,2022/03/22 03:01,42,Berawan
56,Yogyakarta,2022/03/22 03:01,48,Berawan
57,Yogyakarta,2022/03/22 03:01,54,Hujan Lebat
58,Yogyakarta,2022/03/22 03:01,60,Berawan
59,Yogyakarta,2022/03/22 03:01,66,Berawan
