,Petani,Petani Tanaman Pangan,Petani Hortikultura,Petani Tanaman Perkebunan,Petani Peternakan,Nelayan,Pembudidayaan Ikan,Nelayan dan Pembudidayaan Ikan
Januari,"104,16","104,21","105,17","107,43","98,06","101,11","101,62","101,31"
Februari,"103,35","103,76","104,32","105,40","98,23","100,31","101,17","100,65"
Maret,"102,09","102,41","103,50","103,39","98,12","100,05","100,67","100,30"
April,"100,32","100,93","102,28","100,82","96,40","98,49","99,02","98,70"
Mei,"99,47","100,38","101,68","98,51","96,66","98,69","99,76","99,11"
Juni,"99,60","100,42","100,51","98,47","98,29","99,22","99,88","99,48"
Juli,"100,09","100,17","99,77","100,19","99,94","100,01","100,40","100,17"
Agustus,"100,65","100,63","97,80","103,01","98,64","100,38","100,59","100,47"
September,"101,66","101,53","97,38","105,76","98,01","100,72","100,51","100,65"
Oktober,"102,25","101,43","99,42","107,58","97,75","100,73","101,09","100,89"
November,"102,86","100,89","101,27","110,00","98,32","100,97","100,65","100,86"
Desember,"103,25","100,34","102,29","111,80","98,72","102,00","101,24","101,72"
